기준일,예금            ,예금미수이자    ,콜론            ,콜미수이자      ,정기예금        ,정기예금미수이자,REPO            ,REPO미수이자    ,채권            ,채권미수이자    ,외화예금        ,외화정기예금    ,외화예금미수이자,외화채권        ,외화채권미수이자
20250526,2733375281,3836007,0,0,0,0,0,0,0,0,0,0,0,0,0
20250527,3537983781,4058948,0,0,0,0,0,0,0,0,0,0,0,0,0
20250528,2492315623,4215998,0,0,0,0,0,0,0,0,0,0,0,0,0
20250529,3293591123,4423540,0,0,0,0,0,0,0,0,0,0,0,0,0
20250530,4012583781,4651102,0,0,0,0,0,0,0,0,0,0,0,0,0
20250531,4012583781,4878665,0,0,0,0,0,0,0,0,0,0,0,0,0
20250601,4012583781,5106227,0,0,0,0,0,0,0,0,0,0,0,0,0
20250602,370891207,248597,0,0,0,0,0,0,0,0,0,0,0,0,0
20250603,370891207,269631,0,0,0,0,0,0,0,0,0,0,0,0,0
20250604,4684903460,535322,0,0,0,0,0,0,0,0,0,0,0,0,0
20250605,6700995214,915352,0,0,0,0,0,0,0,0,0,0,0,0,0
20250606,6700995214,1295381,0,0,0,0,0,0,0,0,0,0,0,0,0
20250607,6700995214,1675410,0,0,0,0,0,0,0,0,0,0,0,0,0
20250608,6700995214,2055439,0,0,0,0,0,0,0,0,0,0,0,0,0
20250609,6698848299,2435346,0,0,0,0,0,0,0,0,0,0,0,0,0
20250610,3964571724,2660186,0,0,0,0,0,0,0,0,0,0,0,0,0
20250611,2276009001,2789264,0,0,0,0,0,0,0,0,0,0,0,0,0
20250612,6681352641,3168179,0,0,0,0,0,0,0,0,0,0,0,0,0
20250613,2795385754,3326712,0,0,0,0,0,0,0,0,0,0,0,0,0
20250614,2795385754,3485245,0,0,0,0,0,0,0,0,0,0,0,0,0
20250615,2795385754,3643777,0,0,0,0,0,0,0,0,0,0,0,0,0
20250616,6976535392,4039433,0,0,0,0,0,0,0,0,0,0,0,0,0
20250617,7965171575,4491156,0,0,0,0,0,0,0,0,0,0,0,0,0
20250618,10339153313,5077514,0,0,0,0,0,0,0,0,0,0,0,0,0
20250619,6695091166,5457208,0,0,0,0,0,0,0,0,0,0,0,0,0
20250620,3251330594,5641599,0,0,0,0,0,0,0,0,0,0,0,0,0
20250621,3251330594,5825989,0,0,0,0,0,0,0,0,0,0,0,0,0
20250622,3251330594,6010380,0,0,0,0,0,0,0,0,0,0,0,0,0
20250623,5312602843,6311670,0,0,0,0,0,0,0,0,0,0,0,0,0
20250624,4706339508,6578577,0,0,0,0,0,0,0,0,0,0,0,0,0
20250625,7156943458,6984464,0,0,0,0,0,0,0,0,0,0,0,0,0
20250626,4288279360,7227662,0,0,0,0,0,0,0,0,0,0,0,0,0
20250627,7806438816,7670384,0,0,0,0,0,0,0,0,0,0,0,0,0
20250628,7806438816,8113105,0,0,0,0,0,0,0,0,0,0,0,0,0
20250629,7806438816,8555826,0,0,0,0,0,0,0,0,0,0,0,0,0
20250630,6915670902,8948030,0,0,0,0,0,0,0,0,0,0,0,0,0
20250701,7382535402,418680,0,0,0,0,0,0,0,0,0,0,0,0,0
20250702,6517183553,788285,0,0,0,0,0,0,0,0,0,0,0,0,0
20250703,5676039837,1110186,0,0,0,0,0,0,0,0,0,0,0,0,0
20250704,8783888297,1608341,0,0,0,0,0,0,0,0,0,0,0,0,0
20250705,8783888297,2106496,0,0,0,0,0,0,0,0,0,0,0,0,0
20250706,8783888297,2604651,0,0,0,0,0,0,0,0,0,0,0,0,0
20250707,2758374160,2761084,0,0,0,0,0,0,0,0,0,0,0,0,0
20250708,4658028049,3025252,0,0,0,0,0,0,0,0,0,0,0,0,0
20250709,6251027349,3379762,0,0,0,0,0,0,0,0,0,0,0,0,0
20250710,3631268357,3585700,0,0,0,0,0,0,0,0,0,0,0,0,0
20250711,6947755067,3979723,0,0,0,0,0,0,0,0,0,0,0,0,0
20250712,6947755067,4373747,0,0,0,0,0,0,0,0,0,0,0,0,0
20250713,6947755067,4767770,0,0,0,0,0,0,0,0,0,0,0,0,0
20250714,2934538818,4934195,0,0,0,0,0,0,0,0,0,0,0,0,0
20250715,5924395091,5270181,0,0,0,0,0,0,0,0,0,0,0,0,0
20250716,1692948264,5366192,0,0,0,0,0,0,0,0,0,0,0,0,0
20250717,5690553552,5688917,0,0,0,0,0,0,0,0,0,0,0,0,0
20250718,4351606117,5935706,0,0,0,0,0,0,0,0,0,0,0,0,0
20250719,4351606117,6182496,0,0,0,0,0,0,0,0,0,0,0,0,0
20250720,4351606117,6429286,0,0,0,0,0,0,0,0,0,0,0,0,0
20250721,6656881500,6806813,0,0,0,0,0,0,0,0,0,0,0,0,0
20250722,3955134773,7031118,0,0,0,0,0,0,0,0,0,0,0,0,0
20250723,2639226628,7180795,0,0,0,0,0,0,0,0,0,0,0,0,0
20250724,5298484790,7481284,0,0,0,0,0,0,0,0,0,0,0,0,0
20250725,2843487405,7642545,0,0,0,0,0,0,0,0,0,0,0,0,0
20250726,2843487405,7803806,0,0,0,0,0,0,0,0,0,0,0,0,0
20250727,2843487405,7965066,0,0,0,0,0,0,0,0,0,0,0,0,0
20250728,4669890955,8229907,0,0,0,0,0,0,0,0,0,0,0,0,0
20250729,4878179273,8506560,0,0,0,0,0,0,0,0,0,0,0,0,0
20250730,5440687245,8815114,0,0,0,0,0,0,0,0,0,0,0,0,0
20250731,6026438433,9156887,0,0,0,0,0,0,0,0,0,0,0,0,0
20250801,318547095,18065,0,0,0,0,0,0,0,0,0,0,0,0,0
20250802,318547095,36131,0,0,0,0,0,0,0,0,0,0,0,0,0
20250803,318547095,54196,0,0,0,0,0,0,0,0,0,0,0,0,0
20250804,586736182,87471,0,0,0,0,0,0,0,0,0,0,0,0,0
20250805,3015091293,258464,0,0,0,0,0,0,0,0,0,0,0,0,0
20250806,3879624358,478487,0,0,0,0,0,0,0,0,0,0,0,0,0
